Date,Income,Expense,Net_Savings,Savings_Rate,Rolling_Income,Rolling_Expense,Rolling_Savings,Category,Source,Category_Encoded
2022-01-06,0.0,-515.0,-515.0,,0.0,-515.0,-515.0,Mobile Phones,original,17
2022-01-08,0.0,-1706.0,-1706.0,,0.0,-1110.5,-1110.5,Travelling,original,26
2022-01-10,13500.0,0.0,13500.0,1.0,4500.0,-740.3333333333334,3759.6666666666665,Fixed Deposit,original,6
2022-02-01,41800.0,0.0,41800.0,1.0,18433.333333333332,-568.6666666666666,17864.666666666668,Salary,original,22
2022-02-03,41800.0,-500.0,41300.0,0.9880382775119617,32366.666666666668,-166.66666666666666,32200.0,Salary,original,22
2022-02-05,41800.0,-1000.0,40800.0,0.9760765550239234,41800.0,-500.0,41300.0,Salary,original,22
2022-02-07,41800.0,-2643.0,39157.0,0.9367703349282297,41800.0,-1381.0,40419.0,Salary,original,22
2022-02-09,41800.0,0.0,41800.0,1.0,41800.0,-1214.3333333333333,40585.666666666664,Salary,original,22
2022-02-11,41800.0,0.0,41800.0,1.0,41800.0,-881.0,40919.0,Salary,original,22
2022-03-01,0.0,-151.0,-151.0,,27866.666666666668,-50.333333333333336,27816.333333333332,Mobile Phones,original,17
2022-03-03,0.0,-1000.0,-1000.0,,13933.333333333334,-383.6666666666667,13549.666666666666,Petrol,original,19
2022-04-02,0.0,-1150.0,-1150.0,,0.0,-767.0,-767.0,Other,original,18
2022-04-08,0.0,-1000.0,-1000.0,,0.0,-1050.0,-1050.0,Gas,original,8
2022-04-10,0.0,-1676.0,-1676.0,,0.0,-1275.3333333333333,-1275.3333333333333,Travelling,original,26
2022-04-12,0.0,-3543.0,-3543.0,,0.0,-2073.0,-2073.0,Health,original,12
2022-06-03,0.0,-1093.0,-1093.0,,0.0,-2104.0,-2104.0,Electricity Bill,original,4
2022-06-09,0.0,-250.0,-250.0,,0.0,-1628.6666666666667,-1628.6666666666667,Clothes,original,1
2022-07-01,0.0,-93.0,-93.0,,0.0,-478.6666666666667,-478.6666666666667,Electricity Bill,original,4
2022-07-03,0.0,-304.0,-304.0,,0.0,-215.66666666666666,-215.66666666666666,Electricity Bill,original,4
2022-07-05,0.0,-30.0,-30.0,,0.0,-142.33333333333334,-142.33333333333334,Mobile Phones,original,17
2022-08-06,0.0,-30.0,-30.0,,0.0,-121.33333333333333,-121.33333333333333,Mobile Phones,original,17
2022-08-10,0.0,-1747.0,-1747.0,,0.0,-602.3333333333334,-602.3333333333334,Clothes,original,1
2022-09-01,0.0,-500.0,-500.0,,0.0,-759.0,-759.0,Other,original,18
2022-09-05,0.0,-30.0,-30.0,,0.0,-759.0,-759.0,Mobile Phones,original,17
2022-09-11,0.0,-163.0,-163.0,,0.0,-231.0,-231.0,Groceries & Foods,original,11
2022-10-01,0.0,-500.0,-500.0,,0.0,-231.0,-231.0,Other,original,18
2022-10-03,17820.0,0.0,17820.0,1.0,5940.0,-221.0,5719.0,Fixed Deposit,original,6
2022-11-02,0.0,-1000.0,-1000.0,,5940.0,-500.0,5440.0,Groceries & Foods,original,11
2022-11-04,0.0,-19.0,-19.0,,5940.0,-339.6666666666667,5600.333333333333,Mobile Phones,original,17
2022-11-08,0.0,-2000.0,-2000.0,,0.0,-1006.3333333333334,-1006.3333333333334,Clothes,original,1
2022-12-02,0.0,-193.0,-193.0,,0.0,-737.3333333333334,-737.3333333333334,Groceries & Foods,original,11
2022-12-04,0.0,-120.0,-120.0,,0.0,-771.0,-771.0,Other,original,18
2022-12-08,3400.0,0.0,3400.0,1.0,1133.3333333333333,-104.33333333333333,1029.0,House Rent,original,13
2022-12-14,0.0,-2491.87,-2491.87,,1133.3333333333333,-870.6233333333333,262.71000000000004,Groceries,synthetic,10
2022-12-16,4004.82,0.0,4004.82,1.0,2468.273333333333,-830.6233333333333,1637.6500000000003,Bonus,synthetic,0
2022-12-18,0.0,-1889.06,-1889.06,,1334.94,-1460.3100000000002,-125.36999999999989,Debt,synthetic,2
2022-12-20,3021.3,0.0,3021.3,1.0,2342.0400000000004,-629.6866666666666,1712.3533333333335,Bonus,synthetic,0
2022-12-22,4492.21,-2255.52,2236.69,0.49790414962791146,2504.5033333333336,-1381.5266666666666,1122.9766666666667,Debt,synthetic,2
2022-12-26,0.0,-3085.52,-3085.52,,2504.5033333333336,-1780.3466666666666,724.1566666666666,Utilities,synthetic,27
