Model,Dataset,Segment,MAE,R2,RMSE,Best MAE,Best RMSE,Best R2
Linear Regression,Dataset1,All Data,0.4136,-1.2217,0.7551,False,False,False
Linear Regression,Dataset1,Original Only,4.2958,-56644.1508,4.7745,False,False,False
Linear Regression,Dataset1,Synthetic Only,0.3536,0.1275,0.4759,False,False,False
Random Forest,Dataset1,All Data,0.0441,0.8615,0.1885,True,True,True
Random Forest,Dataset1,Original Only,0.0746,-58.4381,0.1547,False,False,False
Random Forest,Dataset1,Synthetic Only,0.0437,0.8624,0.189,False,False,False
Svr,Dataset1,All Data,0.8622,-3.3564,1.0574,False,False,False
Svr,Dataset1,Original Only,1.4114,-5303.0153,1.461,False,False,False
Svr,Dataset1,Synthetic Only,0.8537,-3.246,1.0499,False,False,False
Linear Regression,Dataset2,All Data,0.48,0.47,1.06,False,False,False
Random Forest,Dataset2,All Data,0.22,0.68,0.91,False,False,False
Svr,Dataset2,All Data,0.27,0.66,0.85,False,False,False
