Date,Category,Income,Expense,Savings_Rate,Predicted_Savings_Rate
2020-01-02 00:00:00,Food & Drink,0.0,-2961.27,,-0.9628386246080622
2020-01-04 00:00:00,Investment,2291.0,-1185.08,0.482723701440419,0.3096075890919839
2020-01-12 00:00:00,Food & Drink,0.0,-1126.88,,-0.0657046720907678
2020-01-14 00:00:00,Shopping,0.0,-448.68,,0.3872503763282975
2020-01-18 00:00:00,Food & Drink,3287.0,-1520.03,0.5375631274718589,0.3137899416852016
2020-01-20 00:00:00,Entertainment,0.0,-1914.85,,-0.457961770154734
2020-01-24 00:00:00,Health & Fitness,0.0,-1977.47,,-0.46837664768318193
2020-01-26 00:00:00,Salary,0.0,-1077.09,,0.06701507765969056
2020-01-28 00:00:00,Shopping,0.0,-166.81,,0.5389950025025887
2020-01-30 00:00:00,Food & Drink,0.0,-4760.09,,-1.801819665868461
2020-02-01 00:00:00,Health & Fitness,0.0,-333.68,,0.3538486850690529
2020-02-03 00:00:00,Travel,0.0,-1406.62,,-0.07195093295482363
2020-02-05 00:00:00,Investment,1838.0,-1222.17,0.3350544069640914,0.25999349538484473
2020-02-07 00:00:00,Entertainment,3786.0,-3817.34,-0.0082778658214474,-0.777479715606147
2020-02-09 00:00:00,Entertainment,0.0,-1827.14,,-0.46471920109703996
2020-02-11 00:00:00,Health & Fitness,0.0,-433.13,,0.2645706902372567
2020-02-13 00:00:00,Salary,0.0,-294.31,,0.4668042989045205
2020-02-15 00:00:00,Other,4009.0,-1754.33,0.5624020952856074,0.37401354618355914
2020-02-17 00:00:00,Investment,1398.0,0.0,1.0,0.7508724282238743
2020-02-19 00:00:00,Investment,3958.0,-769.42,0.8056038403233956,0.7745381185039006
2020-02-25 00:00:00,Travel,0.0,-1942.45,,-0.34176201133183187
2020-02-27 00:00:00,Other,5081.0,-1363.76,0.7315961424916355,0.6839765724874124
2020-02-29 00:00:00,Travel,0.0,-1944.06,,-0.3641030322033985
2020-03-02 00:00:00,Rent,0.0,-1742.33,,-0.3163678842258482
2020-03-04 00:00:00,Entertainment,0.0,-1516.0500000000002,,-0.24917176176793326
2020-03-08 00:00:00,Rent,0.0,-2345.42,,-0.5668497282365454
2020-03-10 00:00:00,Rent,0.0,-2136.64,,-0.4700415546721483
2020-03-12 00:00:00,Utilities,0.0,-802.96,,0.24733773225220212
2020-03-14 00:00:00,Entertainment,0.0,-3357.85,,-1.146447570473868
2020-03-18 00:00:00,Health & Fitness,0.0,-881.82,,0.09195363873892676
2020-03-20 00:00:00,Rent,0.0,-503.33,,0.3283503465308172
2020-03-22 00:00:00,Food & Drink,2385.0,-151.28,0.9365702306079664,0.8428096101981493
2020-03-24 00:00:00,Entertainment,0.0,-144.13,,0.43192630220997735
2020-03-28 00:00:00,Other,1080.0,0.0,1.0,0.7479280229156751
2020-04-01 00:00:00,Travel,0.0,-1341.27,,-0.002646861758263841
2020-04-05 00:00:00,Salary,0.0,-2331.95,,-0.5346035043913033
2020-04-09 00:00:00,Other,3402.0,0.0,1.0,1.1100643746643495
